supply_point_index,x_coordinate,y_coordinate,total_parking_slots,existing_num_SCS,existing_num_FCS,2018_Demand_Sum,2018_Demand_pts_cnt
88,0.064818758,9.008559498,17,4,1,2670.127274,87
58,0.247971196,41.8961649,20,8,3,610.7128137,11
84,1.323761117,47.35734415,8,5,2,1267.81083,44
61,2.848185685,59.78774145,11,3,0,62.69609597,49
51,3.353976196,39.7531005,12,4,1,769.6215185,24
55,3.64739072,40.83671221,16,3,1,744.8239309,16
34,4.501085816,22.99221215,19,5,1,6296.987273,140
23,5.417160757,55.6093001,24,4,7,855.4455073,45
36,6.565148131,37.17436042,30,4,9,1882.034189,57
44,7.73322309,56.5579532,18,1,6,1835.277354,105
38,8.462963868,1.315175721,20,5,4,1569.608396,67
49,8.930118351,42.76853671,30,7,13,3636.359913,55
64,11.54492104,31.36086093,20,3,2,3968.049411,76
17,13.30202264,37.5760323,7,4,0,2302.033068,30
24,14.40580184,2.600449705,20,7,3,1189.292031,43
9,15.55427981,46.81531013,21,6,5,4744.408311,66
12,16.04398971,38.19464918,22,5,5,7685.615567,45
66,16.70323051,14.83442403,14,2,2,6100.811645,120
90,17.00854602,18.23762131,26,11,5,8237.596819,92
57,17.01581051,2.803664233,17,5,1,473.1641648,19
85,18.54576635,43.91109217,26,9,7,3559.795088,29
37,18.62780923,26.86626418,13,4,4,14966.1734,100
99,19.59026266,3.830284196,24,2,11,759.2220782,32
60,20.80918181,1.845063458,10,2,3,334.8429907,14
86,21.16214173,47.83327428,27,6,7,5274.060771,37
82,22.77180727,47.07198179,22,6,7,4052.72645,25
87,23.24435677,40.04563679,24,5,5,3122.218129,26
48,23.79547671,40.24389798,28,7,10,2050.337337,11
74,24.58190915,3.787539582,11,3,1,4362.254357,118
93,24.91276154,56.32938424,27,8,6,2277.919884,120
46,26.29148815,40.61401679,28,3,8,2553.705264,11
28,26.31297256,39.15333532,32,11,6,1971.917734,11
65,27.82999568,35.65146012,33,4,11,7933.127736,40
75,28.23648628,46.45107301,33,3,15,3170.549184,14
91,28.68350088,47.61832224,36,3,12,3187.993847,17
62,29.49958777,46.37470886,31,5,10,1115.937669,5
41,29.59586269,40.78742556,21,3,4,4376.582192,21
94,29.78003137,53.11054972,30,7,9,5760.447285,27
52,30.17784757,56.8668828,27,3,7,1099.360319,17
50,30.25059688,26.56687365,30,7,8,9519.673012,86
96,30.31839558,33.38833529,32,5,10,7802.061217,35
3,30.5286257,55.37983538,26,5,5,1923.07433,12
56,31.37293208,45.06347631,29,6,9,1410.096432,7
20,31.91338188,42.88436168,23,6,8,1494.009451,8
25,32.31998033,57.66979052,28,6,10,2310.824996,13
5,32.50820112,59.70136475,28,9,6,573.118426,40
79,32.89181416,46.87583003,30,7,6,7159.401539,32
68,33.16181102,43.17732827,27,6,9,3041.06087,14
18,33.21623864,28.70683428,26,1,8,4701.021658,25
